Company Name,Ticker,Sector,Industry,Exchange,Market Cap (mil)
"Calidi Biotherapeutics, Inc.","CLDI","Medical","Medical - Biomedical and Genetics","AMEX","45.71"
"Cloud Peak Energy","CLDPQ","Oils-Energy","Coal","OTC",""
"Celldex Therapeutics","CLDX","Medical","Medical - Biomedical and Genetics","NSDQ","1986.98"
"China Liberal Education Holdings","CLEU","Consumer Discretionary","Schools","NSDQ","5.47"
"ClevelandCliffs","CLF","Basic Materials","Mining - Miscellaneous","NYSE","9350.03"
"Clearfield","CLFD","Computer and Technology","Wireless Equipment","NSDQ","413.72"
"CollPlant Biotechnologies","CLGN","Medical","Medical - Biomedical and Genetics","NSDQ",""
"Hutech21 Co.","CLGZF","Transportation","Transportation - Services","OTC",""
"Clean Harbors","CLH","Business Services","Waste Removal Services","NYSE","9104.01"
"ClearSign Technologies","CLIR","Industrial Products","Industrial Services","NSDQ","43.97"
"Cellectis","CLLS","Medical","Medical - Biomedical and Genetics","NSDQ","160.64"
"Climb Global Solutions, Inc.","CLMB","Business Services","Technology Services","NSDQ","234.25"
"Calima Energy Ltd.","CLMEF","Oils-Energy","Oil and Gas - Exploration and Production - International","OTC","43.05"
"Calumet Specialty Products Partners","CLMT","Oils-Energy","Oil and Gas - Refining and Marketing - Master Limited Partnerships","NSDQ","1367.44"
"Clean Energy Fuels","CLNE","Utilities","Utility - Gas Distribution","NSDQ","760.5"
"Clene","CLNN","Medical","Medical - Biomedical and Genetics","NSDQ","61.61"
"Clover Leaf Capital","CLOE","Consumer Discretionary","Media Conglomerates","NSDQ","66.27"
"Clover Health Investments","CLOV","Medical","Medical Info Systems","NSDQ","478.53"
"CLP","CLPHY","Utilities","Utility - Electric Power","OTC",""
"CLPS","CLPS","Computer and Technology","Computers - IT Services","NSDQ","26.88"
"ClearPoint Neuro","CLPT","Medical","Medical - Instruments","NSDQ","176.53"
"Cellectar Biosciences","CLRB","Medical","Medical - Products","NSDQ","43.13"
"ClimateRock","CLRC","Unclassified","Unclassified","NSDQ","52.05"
"Superconductor Technologies","CLRD","Medical","Medical Services","OTC","23.45"
"Clarent","CLRN","Computer and Technology","Communication - Network Software","OTC",""
"ClearOne","CLRO","Computer and Technology","Communication - Components","NSDQ","24.32"
"Celestica","CLS","Computer and Technology","Electronics - Manufacturing Services","NYSE","3429.21"
"Clearside Biomedical","CLSD","Medical","Medical - Biomedical and Genetics","NSDQ","90.49"
"Earth Life Sciences","CLTS","Basic Materials","Mining - Miscellaneous","OTC",""
"Celerity Solutions","CLTY","Computer and Technology","Computer - Software","OTC",""
"Town Sports International Holdings","CLUBQ","Consumer Discretionary","Leisure and Recreation Services","OTC",""
"Clever Leaves","CLVR","Medical","Medical - Drugs","NSDQ","5.22"
"Clovis Oncology","CLVSQ","Medical","Medical - Biomedical and Genetics","OTC",""
"Clarivate","CLVT","Computer and Technology","Internet - Software","NYSE","6028.42"
"Clearwater Paper","CLW","Basic Materials","Paper and Related Products","NYSE","574.24"
"Euro Tech","CLWT","Industrial Products","Pollution Control","NSDQ","12.05"
"Calloway's Nursery","CLWY","Retail-Wholesale","Retail - Miscellaneous","OTC","65.77"
"Clorox","CLX","Consumer Staples","Soap and Cleaning Materials","NYSE","17777.65"
"CareMax","CMAX","Business Services","Technology Services","NSDQ","41.57"
"Cambium Networks","CMBM","Computer and Technology","Wireless National","NSDQ","133.62"
"Commercial Metals","CMC","Basic Materials","Steel - Producers","NYSE","5828.71"
"Capitalworks Emerging Markets Acquisition Corp.","CMCA","Unclassified","Unclassified","NSDQ","109.18"
"Caledonia Mining","CMCL","Basic Materials","Mining - Gold","AMEX","143.47"
"Cheetah Mobile","CMCM","Computer and Technology","Internet - Software","NYSE","62.04"
"Columbus McKinnon","CMCO","Industrial Products","Manufacturing - Material Handling","NSDQ","1060.72"
"Comcast","CMCSA","Consumer Discretionary","Cable Television","NSDQ","173038.2"
"China Modern Agricultural Information","CMDKF","Consumer Staples","Agriculture - Operations","OTC",""
"China Marine Food Group","CMFO","Consumer Staples","Food - Meat Products","OTC","0"
"ComF5 International","CMFV","Computer and Technology","Internet - Software","OTC",""
"Chipotle Mexican Grill","CMG","Retail-Wholesale","Retail - Restaurants","NYSE","62352.29"
"CMG Holdings","CMGO","Business Services","Advertising and Marketing","OTC","1.15"
"China Merchants Holdings International","CMHHY","Conglomerates","Diversified Operations","OTC","5537.17"
"Cummins","CMI","Auto-Tires-Trucks","Automotive - Internal Combustion Engines","NYSE","33614.82"
"Cumulus Media","CMLS","Consumer Discretionary","Broadcast Radio and Television","NSDQ","81.38"
"Chemomab Therapeutics","CMMB","Medical","Medical - Biomedical and Genetics","NSDQ","6.18"
"Clearmind Medicine Inc.","CMND","Medical","Medical - Drugs","NSDQ","2.3"
"Commerce Energy Group","CMNR","Utilities","Utility - Electric Power","OTC",""
"Curtiss Motorcycles","CMOT","Auto-Tires-Trucks","Automotive - Domestic","OTC","7.95"
"Compass Minerals International","CMP","Basic Materials","Chemical - Diversified ","NYSE","842.74"
"CompuMed","CMPD","Medical","Medical - Products","OTC","2.5"
"Compass Group","CMPGY","Retail-Wholesale","Retail - Restaurants","OTC","48168.81"
"CompoSecure","CMPO","Business Services","Financial Transaction Services","NSDQ","424.34"
"Cimpress","CMPR","Consumer Discretionary","Consumer Services - Miscellaneous","NSDQ","1952.77"
"COMPASS Pathways","CMPS","Medical","Medical Services","NSDQ","522.41"
"Compass Therapeutics, Inc.","CMPX","Medical","Medical - Biomedical and Genetics","NSDQ","230.75"
"Comera Life Sciences","CMRA","Medical","Medical - Biomedical and Genetics","OTC","2.27"
"Costamare","CMRE","Transportation","Transportation - Shipping","NYSE","1263.47"
"Chimerix","CMRX","Medical","Medical - Products","NSDQ","85.34"
"CMS Energy","CMS","Utilities","Utility - Electric Power","NYSE","16951.49"
"Core Molding Technologies","CMT","Industrial Products","Rubber - Plastics","AMEX","154.42"
"Comtech Telecommunications","CMTL","Computer and Technology","Wireless Equipment","NSDQ","226.69"
"Comtex News Network","CMTX","Business Services","Business - Information Services","OTC",""
"China BCT Pharmacy Group","CNBI","Medical","Medical - Drugs","OTC",""
"Centene","CNC","Medical","Medical - HMOs","NYSE","42100.38"
"China Teletech Holding","CNCT","Computer and Technology","Wireless Equipment","OTC",""
"Concord Acquisition Corp II","CNDA","Unclassified","Unclassified","NYSE",""
